# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load C, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional energy E/E_ch [-]
0.085008,0.000068795
0.22354,0.000068795
0.36207,0.000068795
0.50061,0.000068795
0.63914,0.000068795
0.77767,0.000068795
0.91620,0.000068795
1.0547,0.000068795
1.1933,0.000068795
1.3318,0.000068795
1.4703,0.000068795
1.6089,0.000068795
1.7474,0.000068795
1.8859,0.00062610
2.0245,0.0011327
2.1567,0.0069237
2.2583,0.020211
2.3015,0.033600
2.3414,0.046790
2.3666,0.060629
2.3897,0.075194
2.4128,0.089702
2.4401,0.10665
2.4652,0.12693
2.4904,0.14831
2.5156,0.17033
2.5408,0.19262
2.5660,0.21484
2.5912,0.23630
2.6164,0.25664
2.6499,0.27686
2.6758,0.29646
2.6975,0.31343
2.7248,0.32869
2.7591,0.34393
2.8080,0.36611
2.8861,0.38192
2.9866,0.39377
3.1541,0.39625
3.7346,0.39674
4.3264,0.39575
4.9963,0.39625
5.2196,0.39970
5.3536,0.40662
5.4652,0.41947
5.6215,0.43429
5.7667,0.44219
5.8782,0.44374
6.0167,0.44470
6.1552,0.44531
6.2938,0.44536
6.4323,0.44536
6.5708,0.44536
6.7094,0.44536
6.8479,0.44536
6.9864,0.44536
7.1250,0.44536
7.2635,0.44536
7.4020,0.44536
7.5406,0.44536
7.6791,0.44536
7.8176,0.44536
7.9562,0.44536
8.0947,0.44536
8.2332,0.44536
8.3718,0.44607
8.5103,0.44788
8.6488,0.44930
8.7874,0.44976
8.9259,0.44982
9.0644,0.44982
9.2030,0.44982
9.3415,0.44982
9.4800,0.44982
9.6185,0.44982
9.7571,0.44982
9.8956,0.44982
10.034,0.44982
10.173,0.44982
10.311,0.44982
10.450,0.44982
10.588,0.44982
10.727,0.44982
10.865,0.44982
11.004,0.44982
11.142,0.44982
11.281,0.44982
11.419,0.44982
11.558,0.45022
11.697,0.45037
11.835,0.45037
11.974,0.45037
12.112,0.45037
12.251,0.45037
12.389,0.45037
12.528,0.45037
12.666,0.45037
12.805,0.45037
12.943,0.45037
13.082,0.45037
13.220,0.45037
13.359,0.45037
13.497,0.45037
13.636,0.45037
13.775,0.45037
13.913,0.45037
14.052,0.45037
14.190,0.45037
14.329,0.45037
14.467,0.45037
14.606,0.45037
14.744,0.45068
14.883,0.45093
14.971,0.45093
